run,ls,delivered,recorded
179823,1,1448.4217176,1087.32521392
179823,2,1447.6281039,1414.24988983
179823,3,1446.8164029,1412.45848713
179823,4,1445.7748239,1408.70500387
179823,5,1444.6270377,1409.0784246
179823,6,1444.1055354,1406.35190203
179823,7,1443.2886666,1409.53921898
179823,8,1442.1561165,1408.52557544
179823,9,1441.303875,1408.60974749
179823,10,1439.9039358,1405.72610125
179823,11,1439.5875417,1405.84611037
179823,12,1437.5222037,1408.15144212
179823,13,1437.8967801,1408.21997369
179823,14,1437.9961266,1407.84222375
179823,15,1436.6178387,750.491210747
179823,16,1436.3306694,0.0
