Run:Fill,LS,UTCTime,Beam Status,E(GeV),Delivered(/ub),Recorded(/ub)
190389:2469,1:1,04/04/12 22:24:11,SQUEEZE,4000.04931641,0.00660043898298,0.00569723490761
190389:2469,2:2,04/04/12 22:24:34,SQUEEZE,4000.03759766,0.0058083828877,0.00508942126995
190389:2469,3:3,04/04/12 22:24:57,SQUEEZE,4000.03930664,0.0066224402989,0.0058372175531
190389:2469,4:4,04/04/12 22:25:21,SQUEEZE,4000.05322266,0.00561916943976,0.00494734152311
190389:2469,5:5,04/04/12 22:25:44,SQUEEZE,4000.03979492,0.00620000995546,0.00547994079599
190389:2469,6:6,04/04/12 22:26:07,SQUEEZE,4000.01733398,0.00633476904064,0.00556743848528
190389:2469,7:7,04/04/12 22:26:31,SQUEEZE,3999.99658203,0.00640960764908,0.00563648079122
190389:2469,8:8,04/04/12 22:26:54,SQUEEZE,4000.01733398,0.00653003394123,0.00576771775785
190389:2469,9:9,04/04/12 22:27:17,SQUEEZE,4000.01489258,0.00538155331635,0.00473189220498
190389:2469,10:10,04/04/12 22:27:41,SQUEEZE,4000.02246094,0.00623081287738,0.00549856776635
190389:2469,11:11,04/04/12 22:28:04,SQUEEZE,4000.01733398,0.00587438749818,0.00515230779241
190389:2469,12:12,04/04/12 22:28:27,SQUEEZE,4000.01000977,0.00660484007238,0.00582652572158
190389:2469,13:13,04/04/12 22:28:51,SQUEEZE,4000.01953125,0.00619561004374,0.00547568015636
190389:2469,14:14,04/04/12 22:29:14,SQUEEZE,4000.04663086,0.00661363989064,0.0058188788034
190389:2469,15:15,04/04/12 22:29:37,SQUEEZE,4000.03930664,0.00635402219105,0.00559579674582
190389:2469,16:16,04/04/12 22:30:01,SQUEEZE,4000.03271484,0.00653883435055,0.00576254392028
190389:2469,17:17,04/04/12 22:30:24,SQUEEZE,4000.00488281,0.00703167007799,0.00620580043537
190389:2469,18:18,04/04/12 22:30:47,ADJUST,4000.03271484,0.00613840587789,0.00538129487732
190389:2469,19:19,04/04/12 22:31:11,ADJUST,4000.03759766,0.00573357785166,0.00506578802988
190389:2469,20:20,04/04/12 22:31:34,ADJUST,4000.05322266,0.00599759628448,0.00526618941444
190389:2469,21:21,04/04/12 22:31:57,ADJUST,4000.04956055,0.00588758841954,0.00518131329741
190389:2469,22:22,04/04/12 22:32:21,ADJUST,4000.06347656,0.00601519711638,0.00532218627645
190389:2469,23:23,04/04/12 22:32:44,ADJUST,4000.04467773,0.00686005895163,0.00606175389181
190389:2469,24:24,04/04/12 22:33:07,ADJUST,4000.03271484,0.0411793055036,0.0363185001632
190389:2469,25:25,04/04/12 22:33:31,ADJUST,4000.04272461,0.183977600417,0.161977558842
190389:2469,26:26,04/04/12 22:33:54,ADJUST,4000.04321289,0.189035176042,0.166865130793
190389:2469,27:27,04/04/12 22:34:17,ADJUST,4000.01000977,1.44472010543,1.27271172641
190389:2469,28:28,04/04/12 22:34:41,ADJUST,4000.02954102,56.4761004022,49.9824785317
190389:2469,29:29,04/04/12 22:35:04,ADJUST,4000.02758789,63.8741466318,55.2064247861
190389:2469,30:30,04/04/12 22:35:27,ADJUST,4000.00170898,44.2227381434,28.4728098967
190389:2469,31:31,04/04/12 22:35:51,ADJUST,3999.99658203,45.2523499689,0.0
190389:2469,32:32,04/04/12 22:36:14,ADJUST,4000.00927734,46.471044885,0.0
190389:2469,33:33,04/04/12 22:36:37,ADJUST,4000.04956055,41.9061929848,15.9419551574
190389:2469,34:34,04/04/12 22:37:01,ADJUST,4000.05444336,69.1068986948,60.9336256269
190389:2469,35:35,04/04/12 22:37:24,ADJUST,4000.04272461,73.3035982904,61.6659192974
190389:2469,36:36,04/04/12 22:37:47,STABLE BEAMS,4000.05322266,119.102110441,104.905139034
190389:2469,37:37,04/04/12 22:38:11,STABLE BEAMS,4000.04272461,192.601330897,169.055818551
190389:2469,38:38,04/04/12 22:38:34,STABLE BEAMS,4000.05883789,207.800439613,196.814030029
190389:2469,39:39,04/04/12 22:38:57,STABLE BEAMS,4000.03759766,207.581356623,106.466404297
190389:2469,40:40,04/04/12 22:39:21,STABLE BEAMS,4000.04272461,207.158306122,9.40084316529
190389:2469,41:41,04/04/12 22:39:44,STABLE BEAMS,4000.03930664,206.988162173,116.143125582
190389:2469,42:42,04/04/12 22:40:07,STABLE BEAMS,4000.02758789,206.721329165,140.946737722
190389:2469,43:43,04/04/12 22:40:31,STABLE BEAMS,4000.0300293,200.391738736,127.80183797
190389:2469,44:44,04/04/12 22:40:54,STABLE BEAMS,4000.03295898,201.947388675,131.659600393
190389:2469,45:45,04/04/12 22:41:17,STABLE BEAMS,4000.02758789,192.896481683,127.462139599
190389:2469,46:46,04/04/12 22:41:41,STABLE BEAMS,4000.02246094,207.294158986,135.460516055
190389:2469,47:47,04/04/12 22:42:04,STABLE BEAMS,4000.00512695,206.929662662,135.843115801
190389:2469,48:48,04/04/12 22:42:27,STABLE BEAMS,4000.02758789,206.500682922,133.513016484
190389:2469,49:49,04/04/12 22:42:51,STABLE BEAMS,4000.03930664,206.247915746,128.690447107
190389:2469,50:50,04/04/12 22:43:14,STABLE BEAMS,4000.01708984,205.992172238,135.017566504
190389:2469,51:51,04/04/12 22:43:37,STABLE BEAMS,3999.99658203,205.758691472,133.704052497
190389:2469,52:52,04/04/12 22:44:01,STABLE BEAMS,4000.00683594,205.706656865,128.973961099
190389:2469,53:53,04/04/12 22:44:24,STABLE BEAMS,4000.02954102,205.201539278,128.08269455
190389:2469,54:54,04/04/12 22:44:47,STABLE BEAMS,4000.04272461,205.276529384,126.95326672
190389:2469,55:55,04/04/12 22:45:11,STABLE BEAMS,4000.03442383,205.289202838,123.348014667
190389:2469,56:56,04/04/12 22:45:34,STABLE BEAMS,4000.03295898,204.830548351,125.700411951
190389:2469,57:57,04/04/12 22:45:57,STABLE BEAMS,4000.03295898,204.456379814,125.685470465
190389:2469,58:58,04/04/12 22:46:21,STABLE BEAMS,4000.04418945,204.734417168,128.788182376
190389:2469,59:59,04/04/12 22:46:44,STABLE BEAMS,4000.04272461,203.297514264,130.358432781
190389:2469,60:60,04/04/12 22:47:07,STABLE BEAMS,4000.03759766,202.292943387,130.687311995
190389:2469,61:61,04/04/12 22:47:31,STABLE BEAMS,4000.03491211,202.56127959,131.488600739
190389:2469,62:62,04/04/12 22:47:54,STABLE BEAMS,4000.03759766,202.449106624,134.699511094
190389:2469,63:63,04/04/12 22:48:17,STABLE BEAMS,4000.04150391,201.712280543,134.626810248
190389:2469,64:64,04/04/12 22:48:41,STABLE BEAMS,4000.04907227,201.431928064,135.334057089
190389:2469,65:65,04/04/12 22:49:04,STABLE BEAMS,4000.05322266,201.743784721,133.881209432
190389:2469,66:66,04/04/12 22:49:27,STABLE BEAMS,4000.00512695,201.525913046,131.187326024
190389:2469,67:67,04/04/12 22:49:51,STABLE BEAMS,4000.03613281,178.184754593,122.534093112
190389:2469,68:68,04/04/12 22:50:14,STABLE BEAMS,4000.04125977,188.181689496,134.359845023
190389:2469,69:69,04/04/12 22:50:37,STABLE BEAMS,4000.01464844,201.724023976,149.538016319
190389:2469,70:70,04/04/12 22:51:01,STABLE BEAMS,4000.02954102,193.354759779,144.16143943
190389:2469,71:71,04/04/12 22:51:24,STABLE BEAMS,4000.03808594,191.888129093,146.391452697
190389:2469,72:72,04/04/12 22:51:47,STABLE BEAMS,4000.00708008,200.908917058,16.084768942
190389:2469,73:73,04/04/12 22:52:11,STABLE BEAMS,4000.04956055,200.918860607,69.1402034626
190389:2469,74:74,04/04/12 22:52:34,STABLE BEAMS,4000.03491211,200.716694725,153.987839913
190389:2469,75:75,04/04/12 22:52:57,STABLE BEAMS,4000.03613281,200.710068205,161.589667861
190389:2469,76:76,04/04/12 22:53:21,STABLE BEAMS,4000.03271484,200.270596308,158.446085446
190389:2469,77:77,04/04/12 22:53:44,STABLE BEAMS,4000.04907227,200.168958076,144.357847576
190389:2469,78:78,04/04/12 22:54:07,STABLE BEAMS,4000.05444336,200.048594548,161.455219816
190389:2469,79:79,04/04/12 22:54:31,STABLE BEAMS,4000.04272461,199.983772321,162.25683425
190389:2469,80:80,04/04/12 22:54:54,STABLE BEAMS,4000.03271484,199.951138363,164.499800301
190389:2469,81:81,04/04/12 22:55:17,STABLE BEAMS,4000.05322266,199.49310964,166.714398114
190389:2469,82:82,04/04/12 22:55:41,STABLE BEAMS,4000.04956055,199.53155508,141.11869214
190389:2469,83:83,04/04/12 22:56:04,STABLE BEAMS,4000.05834961,199.347054238,153.46932306
190389:2469,84:84,04/04/12 22:56:27,STABLE BEAMS,4000.06420898,199.109202671,144.310366577
190389:2469,85:85,04/04/12 22:56:51,STABLE BEAMS,4000.03808594,199.006627576,165.615306397
190389:2469,86:86,04/04/12 22:57:14,STABLE BEAMS,4000.02758789,198.810663138,164.491966775
190389:2469,87:87,04/04/12 22:57:37,STABLE BEAMS,4000.04833984,198.631750082,157.425593045
190389:2469,88:88,04/04/12 22:58:01,STABLE BEAMS,4000.00976562,198.531557133,164.014860891
190389:2469,89:89,04/04/12 22:58:24,STABLE BEAMS,4000.04785156,198.32646263,164.979852365
190389:2469,90:90,04/04/12 22:58:47,STABLE BEAMS,4000.05932617,198.346791463,166.252297975
190389:2469,91:91,04/04/12 22:59:11,STABLE BEAMS,4000.03588867,197.892426841,169.615576722
190389:2469,92:92,04/04/12 22:59:34,STABLE BEAMS,4000.04321289,197.8442098,168.373337432
190389:2469,93:93,04/04/12 22:59:57,STABLE BEAMS,4000.03759766,197.777067329,167.317421616
190389:2469,94:94,04/04/12 23:00:21,STABLE BEAMS,4000.05932617,197.547037886,163.264725692
