#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
273158:4915,1:1,05/11/16 20:42:35,STABLE BEAMS,6500,21125.103,11776.058,11.0,PLTZERO
273158:4915,2:2,05/11/16 20:42:59,STABLE BEAMS,6500,12099.326,10978.565,6.3,PLTZERO
273158:4915,3:3,05/11/16 20:43:22,STABLE BEAMS,6500,49327.886,35.197,25.6,PLTZERO
273158:4915,4:4,05/11/16 20:43:45,STABLE BEAMS,6500,49336.620,4577.951,25.6,PLTZERO
273158:4915,5:5,05/11/16 20:44:08,STABLE BEAMS,6500,49268.757,4375.504,25.6,PLTZERO
273158:4915,6:6,05/11/16 20:44:32,STABLE BEAMS,6500,49345.853,42589.949,25.6,PLTZERO
273158:4915,7:7,05/11/16 20:44:55,STABLE BEAMS,6500,49336.736,37042.244,25.6,PLTZERO
273158:4915,8:8,05/11/16 20:45:18,STABLE BEAMS,6500,49319.122,46174.042,25.6,PLTZERO
273158:4915,9:9,05/11/16 20:45:42,STABLE BEAMS,6500,49237.101,45852.060,25.6,PLTZERO
273158:4915,10:10,05/11/16 20:46:05,STABLE BEAMS,6500,49234.604,45843.554,25.6,PLTZERO
273158:4915,11:11,05/11/16 20:46:28,STABLE BEAMS,6500,49224.167,45878.905,25.5,PLTZERO
273158:4915,12:12,05/11/16 20:46:52,STABLE BEAMS,6500,49211.517,45814.436,25.5,PLTZERO
273158:4915,13:13,05/11/16 20:47:15,STABLE BEAMS,6500,49214.930,45925.736,25.5,PLTZERO
273158:4915,14:14,05/11/16 20:47:38,STABLE BEAMS,6500,49199.828,46023.538,25.5,PLTZERO
273158:4915,15:15,05/11/16 20:48:02,STABLE BEAMS,6500,49180.933,45694.903,25.5,PLTZERO
273158:4915,16:16,05/11/16 20:48:25,STABLE BEAMS,6500,49158.810,45784.620,25.5,PLTZERO
273158:4915,17:17,05/11/16 20:48:48,STABLE BEAMS,6500,49164.414,34826.205,25.5,PLTZERO
273158:4915,18:18,05/11/16 20:49:11,STABLE BEAMS,6500,49150.309,34382.037,25.5,PLTZERO
273158:4915,19:19,05/11/16 20:49:35,STABLE BEAMS,6500,49131.873,34800.422,25.5,PLTZERO
273158:4915,20:20,05/11/16 20:49:58,STABLE BEAMS,6500,49125.002,34042.244,25.5,PLTZERO
273158:4915,21:21,05/11/16 20:50:21,STABLE BEAMS,6500,49098.260,34933.131,25.5,PLTZERO
273158:4915,22:22,05/11/16 20:50:45,STABLE BEAMS,6500,49061.688,34967.551,25.5,PLTZERO
273158:4915,23:23,05/11/16 20:51:08,STABLE BEAMS,6500,49054.931,34829.246,25.5,PLTZERO
273158:4915,24:24,05/11/16 20:51:31,STABLE BEAMS,6500,49079.589,34917.667,25.5,PLTZERO
273158:4915,25:25,05/11/16 20:51:55,STABLE BEAMS,6500,49049.216,34873.234,25.5,PLTZERO
273158:4915,26:26,05/11/16 20:52:18,STABLE BEAMS,6500,49051.165,34928.844,25.5,PLTZERO
273158:4915,27:27,05/11/16 20:52:41,STABLE BEAMS,6500,49016.937,35043.521,25.4,PLTZERO
273158:4915,28:28,05/11/16 20:53:05,STABLE BEAMS,6500,48995.213,34997.052,25.4,PLTZERO
273158:4915,29:29,05/11/16 20:53:28,STABLE BEAMS,6500,49002.143,34637.509,25.4,PLTZERO
273158:4915,30:30,05/11/16 20:53:51,STABLE BEAMS,6500,48983.427,33666.464,25.4,PLTZERO
273158:4915,31:31,05/11/16 20:54:15,STABLE BEAMS,6500,48986.141,34971.236,25.4,PLTZERO
273158:4915,32:32,05/11/16 20:54:38,STABLE BEAMS,6500,48978.349,45617.991,25.4,PLTZERO
273158:4915,33:33,05/11/16 20:55:01,STABLE BEAMS,6500,48956.056,45832.115,25.4,PLTZERO
273158:4915,34:34,05/11/16 20:55:25,STABLE BEAMS,6500,48950.121,45666.406,25.4,PLTZERO
273158:4915,35:35,05/11/16 20:55:48,STABLE BEAMS,6500,48913.805,45742.230,25.4,PLTZERO
