#Data tag : v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
276870:5097,76:76,07/16/16 11:01:14,STABLE BEAMS,6500,258446.515,251546.932,38.2,PLTZERO
276870:5097,77:77,07/16/16 11:01:37,STABLE BEAMS,6500,258229.813,190399.092,38.2,PLTZERO
276870:5097,78:78,07/16/16 11:02:01,STABLE BEAMS,6500,258134.260,23621.650,38.2,PLTZERO
276870:5097,79:79,07/16/16 11:02:24,STABLE BEAMS,6500,257590.850,54844.957,38.1,PLTZERO
276870:5097,80:80,07/16/16 11:02:47,STABLE BEAMS,6500,257375.080,238556.854,38.1,PLTZERO
276870:5097,81:81,07/16/16 11:03:11,STABLE BEAMS,6500,257470.457,240201.438,38.1,PLTZERO
276870:5097,82:82,07/16/16 11:03:34,STABLE BEAMS,6500,257008.701,134703.600,38.0,PLTZERO
276870:5097,83:83,07/16/16 11:03:57,STABLE BEAMS,6500,256968.097,249366.850,38.0,PLTZERO
276870:5097,84:84,07/16/16 11:04:20,STABLE BEAMS,6500,256598.545,242005.759,37.9,PLTZERO
276870:5097,85:85,07/16/16 11:04:44,STABLE BEAMS,6500,256439.266,248551.095,37.9,PLTZERO
276870:5097,86:86,07/16/16 11:05:07,STABLE BEAMS,6500,256093.003,245104.847,37.9,PLTZERO
276870:5097,87:87,07/16/16 11:05:30,STABLE BEAMS,6500,255958.055,248517.640,37.8,PLTZERO
276870:5097,88:88,07/16/16 11:05:54,STABLE BEAMS,6500,255827.542,248080.424,37.8,PLTZERO
276870:5097,89:89,07/16/16 11:06:17,STABLE BEAMS,6500,255887.742,248118.632,37.8,PLTZERO
276870:5097,90:90,07/16/16 11:06:40,STABLE BEAMS,6500,255892.482,247819.892,37.8,PLTZERO
276870:5097,91:91,07/16/16 11:07:04,STABLE BEAMS,6500,255359.148,247603.854,37.8,PLTZERO
276870:5097,92:92,07/16/16 11:07:27,STABLE BEAMS,6500,254693.462,243196.229,37.7,PLTZERO
276870:5097,93:93,07/16/16 11:07:50,STABLE BEAMS,6500,255325.258,246968.139,37.8,PLTZERO
276870:5097,94:94,07/16/16 11:08:14,STABLE BEAMS,6500,254195.850,246312.943,37.6,PLTZERO
276870:5097,95:95,07/16/16 11:08:37,STABLE BEAMS,6500,255070.361,247751.616,37.7,PLTZERO
276870:5097,96:96,07/16/16 11:09:00,STABLE BEAMS,6500,254791.914,247146.748,37.7,PLTZERO
276870:5097,97:97,07/16/16 11:09:24,STABLE BEAMS,6500,254720.078,246745.775,37.7,PLTZERO
276870:5097,98:98,07/16/16 11:09:47,STABLE BEAMS,6500,254325.279,247001.922,37.6,PLTZERO
276870:5097,99:99,07/16/16 11:10:10,STABLE BEAMS,6500,254271.262,246360.630,37.6,PLTZERO
276870:5097,100:100,07/16/16 11:10:33,STABLE BEAMS,6500,253564.742,244856.077,37.5,PLTZERO
276870:5097,101:101,07/16/16 11:10:57,STABLE BEAMS,6500,254036.636,94281.265,37.6,PLTZERO
276870:5097,102:102,07/16/16 11:11:20,STABLE BEAMS,6500,253730.448,245229.621,37.5,PLTZERO
276870:5097,103:103,07/16/16 11:11:43,STABLE BEAMS,6500,253619.674,245763.442,37.5,PLTZERO
276870:5097,104:104,07/16/16 11:12:07,STABLE BEAMS,6500,253542.258,245679.666,37.5,PLTZERO
276870:5097,105:105,07/16/16 11:12:30,STABLE BEAMS,6500,253586.111,245692.363,37.5,PLTZERO
276870:5097,106:106,07/16/16 11:12:53,STABLE BEAMS,6500,252870.730,245686.518,37.4,PLTZERO
276870:5097,107:107,07/16/16 11:13:17,STABLE BEAMS,6500,252253.540,245094.563,37.3,PLTZERO
276870:5097,108:108,07/16/16 11:13:40,STABLE BEAMS,6500,252459.989,245287.283,37.3,PLTZERO
276870:5097,109:109,07/16/16 11:14:03,STABLE BEAMS,6500,252722.917,240814.746,37.4,PLTZERO
276870:5097,110:110,07/16/16 11:14:27,STABLE BEAMS,6500,252186.691,244754.413,37.3,PLTZERO
276870:5097,111:111,07/16/16 11:14:50,STABLE BEAMS,6500,252863.176,245390.318,37.4,PLTZERO
276870:5097,112:112,07/16/16 11:15:13,STABLE BEAMS,6500,251916.104,244809.092,37.2,PLTZERO
276870:5097,113:113,07/16/16 11:15:37,STABLE BEAMS,6500,251085.846,242522.512,37.1,PLTZERO
276870:5097,114:114,07/16/16 11:16:00,STABLE BEAMS,6500,251696.519,244314.691,37.2,PLTZERO
276870:5097,115:115,07/16/16 11:16:23,STABLE BEAMS,6500,251444.509,244110.808,37.2,PLTZERO
276870:5097,116:116,07/16/16 11:16:46,STABLE BEAMS,6500,251430.693,244116.501,37.2,PLTZERO
276870:5097,117:117,07/16/16 11:17:10,STABLE BEAMS,6500,250973.744,243657.649,37.1,PLTZERO
276870:5097,118:118,07/16/16 11:17:33,STABLE BEAMS,6500,251564.823,244559.720,37.2,PLTZERO
276870:5097,119:119,07/16/16 11:17:56,STABLE BEAMS,6500,250996.788,243438.863,37.1,PLTZERO
276870:5097,120:120,07/16/16 11:18:20,STABLE BEAMS,6500,249929.925,242762.371,37.0,PLTZERO
276870:5097,121:121,07/16/16 11:18:43,STABLE BEAMS,6500,250611.172,243661.608,37.1,PLTZERO
276870:5097,122:122,07/16/16 11:19:06,STABLE BEAMS,6500,250372.388,242824.656,37.0,PLTZERO
276870:5097,123:123,07/16/16 11:19:30,STABLE BEAMS,6500,250318.237,239955.986,37.0,PLTZERO
276870:5097,124:124,07/16/16 11:19:53,STABLE BEAMS,6500,250313.040,242796.345,37.0,PLTZERO
276870:5097,125:125,07/16/16 11:20:16,STABLE BEAMS,6500,249583.694,236987.079,36.9,PLTZERO
276870:5097,126:126,07/16/16 11:20:40,STABLE BEAMS,6500,249158.105,242277.503,36.8,PLTZERO
276870:5097,127:127,07/16/16 11:21:03,STABLE BEAMS,6500,249695.344,242774.380,36.9,PLTZERO
276870:5097,128:128,07/16/16 11:21:26,STABLE BEAMS,6500,249241.388,241730.968,36.9,PLTZERO
276870:5097,129:129,07/16/16 11:21:50,STABLE BEAMS,6500,249250.134,242346.299,36.9,PLTZERO
276870:5097,130:130,07/16/16 11:22:13,STABLE BEAMS,6500,249300.079,242084.414,36.9,PLTZERO
